date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:47	180275/180275	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:25%20GMT	https://song-spells.com/img/gallery/snow-white/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/snow-white/01.jpg	(from https://song-spells.com/)
09:30:47	168213/168213	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:27%20GMT	https://song-spells.com/img/gallery/jasmine/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/jasmine/01.jpg	(from https://song-spells.com/)
09:30:47	298928/298928	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:17%20GMT	https://song-spells.com/img/gallery/group2.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/group2.jpg	(from https://song-spells.com/)
09:30:47	44323/44323	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:28%20GMT	https://song-spells.com/img/gallery/ariel/thumbs/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/ariel/thumbs/01.jpg	(from https://song-spells.com/)
09:30:48	527143/527143	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:28%20GMT	https://song-spells.com/img/gallery/cinderella/thumbs/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/cinderella/thumbs/01.jpg	(from https://song-spells.com/)
09:30:48	115358/115358	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:28%20GMT	https://song-spells.com/img/gallery/belle/thumbs/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/belle/thumbs/01.jpg	(from https://song-spells.com/)
09:30:49	93300/93300	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:15%20GMT	https://song-spells.com/img/gallery/group1-thumb.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/group1-thumb.jpg	(from https://song-spells.com/)
09:30:49	111090/111090	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:27%20GMT	https://song-spells.com/img/gallery/moana/thumbs/01.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/moana/thumbs/01.jpg	(from https://song-spells.com/)
09:30:49	88283/88283	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:15%20GMT	https://song-spells.com/img/gallery/sofia1thumb.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/sofia1thumb.jpg	(from https://song-spells.com/)
09:30:49	70619/70619	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:23%20GMT	https://song-spells.com/img/gallery/rapunzel/01-thumb.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/rapunzel/01-thumb.jpg	(from https://song-spells.com/)
09:30:49	38334/38334	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:25%20GMT	https://song-spells.com/img/gallery/snow-white/01-thumb.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/snow-white/01-thumb.jpg	(from https://song-spells.com/)
09:30:49	30495/30495	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:27%20GMT	https://song-spells.com/img/gallery/jasmine/01-thumb.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/jasmine/01-thumb.jpg	(from https://song-spells.com/)
09:30:50	47422/47422	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:15%20GMT	https://song-spells.com/img/gallery/group2-thumb.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/gallery/group2-thumb.jpg	(from https://song-spells.com/)
09:30:50	1950/1950	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Sep%202019%2005:29:06%20GMT	https://song-spells.com/img/belle.svg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/belle.svg	(from https://song-spells.com/)
